label,pitch_range,av_pitch,min_pitch,max_pitch,pitch75,pitch25,av_first_pitch,av_end_pitch,num_change_points_pitch,num_change_points_loudness,max_loudness,min_loudness,loudness75,loudness25,direction_asc,direction_desc,duration,index,svara,timestep,track
0,103.49659038564107,722.4390217814781,696.6160419100908,800.1126322957318,729.3412807526745,699.9102050398333,711.2333487492815,752.5128881283252,9,2,1.1732559,-15.646992,-6.523136138916016,-9.34228515625,1,0,0.4162568445669358,21.0,dha,0.003750061662765187,kamakshi
0,516.8490259800539,803.813732495269,622.0511689280582,1138.900194908112,863.824462882424,724.2717690840129,866.2707568019495,856.3026481742909,10,2,2.2057533,-22.026215,-7.693321228027344,-13.34442138671875,0,1,0.682511222623264,22.0,dha,0.003750061662765187,kamakshi
0,70.04925566281429,720.0716647913848,693.7446390321343,763.7938946949486,742.4788198295673,701.9560428491877,698.8127750827958,730.3375130273381,8,2,2.2288895,-19.51072,-2.4002933502197266,-8.806556701660156,1,0,0.5062583244733003,23.0,dha,0.003750061662765187,kamakshi
0,527.365436890188,937.5096935697705,717.6720232267833,1245.0374601169713,1136.795723604421,760.625332415014,1235.1125074054787,857.8441417242534,4,4,1.6102791,-26.178387,-6.989006996154785,-15.536139488220215,0,1,0.5775094960658388,24.0,dha,0.003750061662765187,kamakshi
0,545.2386333546028,983.1298820138737,708.9345389634705,1254.1731723180733,1229.8411031205837,761.859464692517,1242.788423104232,851.722757136557,4,4,2.351387,-27.052471,-8.878426551818848,-18.660539627075195,0,1,0.4350071528807617,25.0,dha,0.003750061662765187,kamakshi
0,160.30926519624597,741.0898673687802,682.2368603068253,842.5461255030713,806.7335392854148,700.115036560427,690.6378192810699,820.1404050605723,6,2,2.3976746,-15.542332,-6.3160247802734375,-12.582786560058594,1,0,0.42750702955523134,26.0,dha,0.003750061662765187,kamakshi
0,203.6012911599512,750.9427382465816,649.7598740173038,853.361165177255,790.3614540085273,705.2091990469353,713.3978477971709,772.4834379882343,2,2,2.1672058,-32.046165,-12.53652572631836,-21.35762882232666,1,0,0.341255611311632,27.0,dha,0.003750061662765187,kamakshi
0,127.12030411869773,738.5262724208968,698.7161531018127,825.8364572205104,782.3650631466332,699.9102050398321,699.9102050398063,776.6833022062924,6,2,0.7689972,-16.303986,-7.88177490234375,-14.218124389648438,1,0,0.5137584477988306,28.0,dha,0.003750061662765187,kamakshi
0,280.76894895764997,808.4689298385327,648.7326325408953,929.5015814985453,887.5484726024891,749.8813344334405,845.9606065105861,761.7795910607497,4,2,1.3730927,-42.162457,-15.075555801391602,-26.69188404083252,0,1,0.3900064129275795,29.0,dha,0.003750061662765187,kamakshi
0,124.5851972795449,729.5609534523055,686.4240379587046,811.0092352382495,774.3103485684694,698.8369296572909,699.9318698548244,778.3921598275256,6,2,2.4374313,-42.59574,-8.879707336425781,-15.618181228637695,1,0,0.48000789283394396,30.0,dha,0.003750061662765187,kamakshi
0,684.6045896364963,767.2804128366145,268.6338263241512,953.2384159606474,850.1057402417806,749.0611304504539,386.853343221858,937.8360890107276,6,4,2.7771034,-24.151478,-1.0216751098632812,-8.509498596191406,1,0,0.6675109759722033,31.0,dha,0.003750061662765187,kamakshi
0,303.3615268222868,851.2384875644136,715.7826705453342,1019.144197367621,903.4174097732814,789.2863462350869,841.8345619999524,854.561029980755,6,2,2.748001,-31.04948,-8.66253662109375,-19.791290283203125,1,0,0.42750702955523134,32.0,dha,0.003750061662765187,kamakshi
0,299.8261661781107,760.4467257214045,598.2001703650697,898.0263365431804,819.0639194402074,701.6282901974632,757.4289420608142,686.0216269696905,8,4,0.81690216,-33.148705,-4.207056045532227,-19.990304946899414,0,1,0.6487606676583774,33.0,dha,0.003750061662765187,kamakshi
0,108.38114308950514,725.8132285498939,698.6425040356636,807.0236471251687,754.9622673848103,699.9102050398301,699.9102050398059,756.1815563133541,7,2,0.903389,-20.667164,-10.09390640258789,-12.793052673339844,1,0,0.4687577078456484,34.0,dha,0.003750061662765187,kamakshi
0,224.98947767156028,906.7547872827577,724.9081219869286,949.8975996584888,934.4456817931182,906.1778779331662,772.3102294633431,904.3937134810741,4,2,1.3234024,-26.416965,-9.85584545135498,-16.33892822265625,1,0,0.461257584520118,35.0,dha,0.003750061662765187,kamakshi
0,503.77570514623517,960.8145818929469,774.2527350917321,1278.0284402379673,1129.1743641558483,802.9033856085746,1259.4845214003155,896.7443734639633,2,4,1.1479797,-25.125427,-9.166744232177734,-17.955379486083984,0,1,0.45000739953182245,36.0,dha,0.003750061662765187,kamakshi
0,79.53199814125969,713.2500152492165,684.0899640749797,763.6219622162394,725.7358554574616,699.8476859141545,691.8150141809436,736.908000460977,8,4,1.1308212,-24.060642,-2.676272392272949,-7.846942901611328,1,0,0.4350071528807617,37.0,dha,0.003750061662765187,kamakshi
0,515.2114951973281,908.3921594621918,782.8028470896516,1298.0143422869796,936.8280561612983,816.700323477929,1233.6438711347162,823.4644306274196,2,2,2.1333618,-19.579952,-3.234935760498047,-12.610404968261719,0,1,0.4725077695084136,38.0,dha,0.003750061662765187,kamakshi
0,128.39459348235243,524.7626866307331,492.5178486244761,620.9124421068285,548.6074772432767,494.30269656359127,494.8622337232652,610.0581624420195,2,2,3.1799698,-35.430515,-7.332237243652344,-27.51977252960205,1,0,0.1762528981499638,39.0,dha,0.003750061662765187,kamakshi
0,30.382371075311198,737.5479642099602,723.3518227843211,753.7341938596323,746.3924612182768,729.6815076082024,749.1056086170405,751.3864307220387,2,4,2.6536407,-10.27726,-0.47803497314453125,-7.013293266296387,1,0,0.22875376142867643,40.0,dha,0.003750061662765187,kamakshi
0,931.8898023026599,872.9601782382315,626.4788740661869,1558.3686763688468,924.7064907573082,704.5594328480165,1399.6201020584217,924.8753127725155,2,2,1.5374374,-42.624104,-9.647232055664062,-21.378395080566406,0,1,0.19125314480102454,41.0,dha,0.003750061662765187,kamakshi
0,165.21155298727524,774.3740820105235,724.9767594249729,890.1883124122481,803.1328652188579,739.9921664386436,738.0896406269554,870.1601824498001,8,2,0.8735733,-40.333214,-5.619335174560547,-13.908300399780273,1,0,0.5025082628105351,42.0,dha,0.003750061662765187,kamakshi
0,631.6374124877162,934.9547570934037,685.6812168781161,1317.3186293658323,1196.5022847302575,748.3474396087631,1231.0738037966262,747.2813921854365,4,4,1.5873795,-24.496136,-5.3848371505737305,-14.75469970703125,0,1,0.4162568445669358,43.0,dha,0.003750061662765187,kamakshi
0,569.6248515447475,1050.8653643157265,709.2401807532648,1278.8650322980122,1274.5809400943951,776.7746120236407,1270.3796351467488,761.851103401926,4,2,1.4189682,-16.021244,-3.3393993377685547,-7.346670150756836,0,1,0.21375351477761567,44.0,dha,0.003750061662765187,kamakshi
0,675.554586865907,562.9390522312851,224.6456912551137,900.2002781210207,835.0486555618571,295.24091383396336,227.10440618039004,899.022015799264,2,2,1.1427689,-35.906998,-8.730937957763672,-16.417367935180664,1,0,0.3675060429509883,45.0,dha,0.003750061662765187,kamakshi
0,354.13884540213644,783.8650129020721,697.6917850548496,1051.830630456986,826.4392744018448,723.0458100405515,730.2466511298466,991.7722980220279,10,8,3.5317917,-12.981766,-1.6316986083984375,-6.925750732421875,1,0,0.9300152923657664,46.0,dha,0.003750061662765187,kamakshi
0,83.48331713110485,726.2981883737203,698.5743781077997,782.0576952389046,750.3240817779395,700.0518148109707,699.9102050398054,776.4175228120225,4,2,2.413601,-21.298454,-4.370731353759766,-11.3360595703125,1,0,0.4425072762062921,47.0,dha,0.003750061662765187,kamakshi
